mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_vec__max_df,param_vec__max_features,param_vec__min_df,param_vec__ngram_range,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.34356021881103516,0.15650886993678872,0.09062399864196777,0.036992891846135766,1.0,0.95,20000,5,"(1, 1)","{'model__alpha': 1.0, 'vec__max_df': 0.95, 'vec__max_features': 20000, 'vec__min_df': 5, 'vec__ngram_range': (1, 1)}",0.6542872747132714,0.6606590205716366,0.6568359730566176,0.6554989075018208,0.6493080844865259,0.6553178520659745,0.003689036444868866,9,0.6509760698979293,0.6590706333480899,0.6544472918689321,0.6530564828765343,0.6451429947573907,0.6525386945497752,0.004554453735950842,1,0.656640253343123,0.6631705737304127,0.6592488997507661,0.6577812229903462,0.6504346946793161,0.6574551288987929,0.004145860095334914,1
0.3754889011383057,0.13071209156641855,0.08248181343078613,0.03703620908411817,1.0,0.95,50000,5,"(1, 1)","{'model__alpha': 1.0, 'vec__max_df': 0.95, 'vec__max_features': 50000, 'vec__min_df': 5, 'vec__ngram_range': (1, 1)}",0.6542872747132714,0.6606590205716366,0.6568359730566176,0.6554989075018208,0.6493080844865259,0.6553178520659745,0.003689036444868866,9,0.6509760698979293,0.6590706333480899,0.6544472918689321,0.6530564828765343,0.6451429947573907,0.6525386945497752,0.004554453735950842,1,0.656640253343123,0.6631705737304127,0.6592488997507661,0.6577812229903462,0.6504346946793161,0.6574551288987929,0.004145860095334914,1
0.39408459663391116,0.09421923904598165,0.08861937522888183,0.03065813957364996,1.0,0.9,50000,5,"(1, 1)","{'model__alpha': 1.0, 'vec__max_df': 0.9, 'vec__max_features': 50000, 'vec__min_df': 5, 'vec__ngram_range': (1, 1)}",0.6542872747132714,0.6606590205716366,0.6568359730566176,0.6554989075018208,0.6493080844865259,0.6553178520659745,0.003689036444868866,9,0.6509760698979293,0.6590706333480899,0.6544472918689321,0.6530564828765343,0.6451429947573907,0.6525386945497752,0.004554453735950842,1,0.656640253343123,0.6631705737304127,0.6592488997507661,0.6577812229903462,0.6504346946793161,0.6574551288987929,0.004145860095334914,1
0.36762409210205077,0.12419292570918883,0.08280830383300782,0.01575936931270405,1.0,0.9,20000,5,"(1, 1)","{'model__alpha': 1.0, 'vec__max_df': 0.9, 'vec__max_features': 20000, 'vec__min_df': 5, 'vec__ngram_range': (1, 1)}",0.6542872747132714,0.6606590205716366,0.6568359730566176,0.6554989075018208,0.6493080844865259,0.6553178520659745,0.003689036444868866,9,0.6509760698979293,0.6590706333480899,0.6544472918689321,0.6530564828765343,0.6451429947573907,0.6525386945497752,0.004554453735950842,1,0.656640253343123,0.6631705737304127,0.6592488997507661,0.6577812229903462,0.6504346946793161,0.6574551288987929,0.004145860095334914,1
0.949770736694336,0.13621460202971164,0.11911334991455078,0.019889497252642115,1.0,0.9,20000,5,"(1, 2)","{'model__alpha': 1.0, 'vec__max_df': 0.9, 'vec__max_features': 20000, 'vec__min_df': 5, 'vec__ngram_range': (1, 2)}",0.6575641725832878,0.6586564718732932,0.65665392317495,0.6529497450837582,0.6482155863073562,0.654807979804529,0.003813861168497581,13,0.653301998609527,0.6568169912100548,0.6540505230426672,0.649987548445132,0.644112379587958,0.6516538881790679,0.004353591609411061,5,0.6597290075287477,0.661046763972757,0.65907645015458,0.6554185823234709,0.6499600996504147,0.6570461807259941,0.004004643342173796,5
1.1133338928222656,0.30348821453553265,0.11067209243774415,0.02471283128242158,1.0,0.9,50000,5,"(1, 2)","{'model__alpha': 1.0, 'vec__max_df': 0.9, 'vec__max_features': 50000, 'vec__min_df': 5, 'vec__ngram_range': (1, 2)}",0.6575641725832878,0.6586564718732932,0.65665392317495,0.6529497450837582,0.6482155863073562,0.654807979804529,0.003813861168497581,13,0.653301998609527,0.6568169912100548,0.6540505230426672,0.649987548445132,0.644112379587958,0.6516538881790679,0.004353591609411061,5,0.6597290075287477,0.661046763972757,0.65907645015458,0.6554185823234709,0.6499600996504147,0.6570461807259941,0.004004643342173796,5
1.095170831680298,0.2557169707365306,0.1402737617492676,0.026038385018855977,1.0,0.95,50000,5,"(1, 2)","{'model__alpha': 1.0, 'vec__max_df': 0.95, 'vec__max_features': 50000, 'vec__min_df': 5, 'vec__ngram_range': (1, 2)}",0.6575641725832878,0.6586564718732932,0.65665392317495,0.6529497450837582,0.6482155863073562,0.654807979804529,0.003813861168497581,13,0.653301998609527,0.6568169912100548,0.6540505230426672,0.649987548445132,0.644112379587958,0.6516538881790679,0.004353591609411061,5,0.6597290075287477,0.661046763972757,0.65907645015458,0.6554185823234709,0.6499600996504147,0.6570461807259941,0.004004643342173796,5
1.0879343509674073,0.21798484423313538,0.11465616226196289,0.01647586775298575,1.0,0.95,20000,5,"(1, 2)","{'model__alpha': 1.0, 'vec__max_df': 0.95, 'vec__max_features': 20000, 'vec__min_df': 5, 'vec__ngram_range': (1, 2)}",0.6575641725832878,0.6586564718732932,0.65665392317495,0.6529497450837582,0.6482155863073562,0.654807979804529,0.003813861168497581,13,0.653301998609527,0.6568169912100548,0.6540505230426672,0.649987548445132,0.644112379587958,0.6516538881790679,0.004353591609411061,5,0.6597290075287477,0.661046763972757,0.65907645015458,0.6554185823234709,0.6499600996504147,0.6570461807259941,0.004004643342173796,5
0.3706038475036621,0.09290706627483275,0.07455582618713379,0.01268392304663255,10.0,0.9,20000,5,"(1, 1)","{'model__alpha': 10.0, 'vec__max_df': 0.9, 'vec__max_features': 20000, 'vec__min_df': 5, 'vec__ngram_range': (1, 1)}",0.663935918441653,0.6643000182049882,0.6641179683233206,0.6545884923525127,0.657319737800437,0.6608524270245824,0.004093270940714157,1,0.6499033042696647,0.6514248858179493,0.6504881943027331,0.6409886966442236,0.6432635090732778,0.6472137180215698,0.00424370227972437,13,0.6602220637452517,0.6608978349678766,0.660497547872378,0.6499597648156964,0.6530577155844521,0.656926985397131,0.0045362432813300544,9
0.3395242691040039,0.14486008054841087,0.08140754699707031,0.026516807430232117,10.0,0.9,50000,5,"(1, 1)","{'model__alpha': 10.0, 'vec__max_df': 0.9, 'vec__max_features': 50000, 'vec__min_df': 5, 'vec__ngram_range': (1, 1)}",0.663935918441653,0.6643000182049882,0.6641179683233206,0.6545884923525127,0.657319737800437,0.6608524270245824,0.004093270940714157,1,0.6499033042696647,0.6514248858179493,0.6504881943027331,0.6409886966442236,0.6432635090732778,0.6472137180215698,0.00424370227972437,13,0.6602220637452517,0.6608978349678766,0.660497547872378,0.6499597648156964,0.6530577155844521,0.656926985397131,0.0045362432813300544,9
