mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__var_smoothing,param_vec__bow__max_df,param_vec__bow__min_df,param_vec__bow__ngram_range,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.28190789222717283,0.012268054774998554,0.09660305976867675,0.002221339038851788,0.005623413251903491,1.0,2,"(1, 1)","{'model__var_smoothing': np.float64(0.005623413251903491), 'vec__bow__max_df': 1.0, 'vec__bow__min_df': 2, 'vec__bow__ngram_range': (1, 1)}",0.5811032222829056,0.586928818496268,0.5840160203895868,0.5653678077203205,0.5846686088856519,0.5804168955549465,0.007750896660997764,1,0.5909298442742931,0.6006056462703862,0.5939338719327281,0.5842882188640544,0.5980198896651339,0.593555494201319,0.005701843043751619,1,0.5846169759367551,0.5896480944659562,0.5865281611655221,0.5673310478444037,0.5870798047245057,0.5830408168274286,0.008017633448788735,1
0.3114262580871582,0.037542198704201044,0.11028790473937988,0.009491471084769674,0.005623413251903491,0.9,2,"(1, 1)","{'model__var_smoothing': np.float64(0.005623413251903491), 'vec__bow__max_df': 0.9, 'vec__bow__min_df': 2, 'vec__bow__ngram_range': (1, 1)}",0.5811032222829056,0.586928818496268,0.5840160203895868,0.5653678077203205,0.5846686088856519,0.5804168955549465,0.007750896660997764,1,0.5909298442742931,0.6006056462703862,0.5939338719327281,0.5842882188640544,0.5980198896651339,0.593555494201319,0.005701843043751619,1,0.5846169759367551,0.5896480944659562,0.5865281611655221,0.5673310478444037,0.5870798047245057,0.5830408168274286,0.008017633448788735,1
0.3094883918762207,0.02142551569261871,0.10576105117797852,0.0017503669075518385,0.005623413251903491,0.9,1,"(1, 1)","{'model__var_smoothing': np.float64(0.005623413251903491), 'vec__bow__max_df': 0.9, 'vec__bow__min_df': 1, 'vec__bow__ngram_range': (1, 1)}",0.5827416712179138,0.5636264336428182,0.5841980702712544,0.5639111434814276,0.5846686088856519,0.5758291854998132,0.009868160673095231,3,0.5925014254271438,0.5848301593966334,0.5945526300293312,0.5833233407783536,0.5980198896651339,0.5906454890593191,0.005666108879825048,3,0.5862343562790207,0.5650569604920502,0.5867676951462882,0.5658094764962508,0.5870798047245057,0.5781896586276231,0.010421815948939997,3
0.2840421199798584,0.011645305181107814,0.10246753692626953,0.008533052460023883,0.005623413251903491,1.0,1,"(1, 1)","{'model__var_smoothing': np.float64(0.005623413251903491), 'vec__bow__max_df': 1.0, 'vec__bow__min_df': 1, 'vec__bow__ngram_range': (1, 1)}",0.5827416712179138,0.5636264336428182,0.5841980702712544,0.5639111434814276,0.5846686088856519,0.5758291854998132,0.009868160673095231,3,0.5925014254271438,0.5848301593966334,0.5945526300293312,0.5833233407783536,0.5980198896651339,0.5906454890593191,0.005666108879825048,3,0.5862343562790207,0.5650569604920502,0.5867676951462882,0.5658094764962508,0.5870798047245057,0.5781896586276231,0.010421815948939997,3
0.628065538406372,0.040189668792374324,0.12222886085510254,0.009582174768413255,0.005623413251903491,0.9,1,"(1, 2)","{'model__var_smoothing': np.float64(0.005623413251903491), 'vec__bow__max_df': 0.9, 'vec__bow__min_df': 1, 'vec__bow__ngram_range': (1, 2)}",0.5436009466593846,0.5486983433460768,0.56198798470781,0.5404224326292789,0.549890750182083,0.5489200915049267,0.007379223421609991,5,0.5651900777617094,0.5752248266699134,0.5847966735197557,0.5660229971283957,0.5742917796902373,0.5731052709540023,0.007147000758090239,7,0.5475569404505607,0.5507660614188894,0.5650240205535425,0.5432182424202735,0.551654447145379,0.5516439423977291,0.00731427756985829,5
0.5945783138275147,0.02148829806009891,0.1171647071838379,0.00766773866908808,0.005623413251903491,1.0,1,"(1, 2)","{'model__var_smoothing': np.float64(0.005623413251903491), 'vec__bow__max_df': 1.0, 'vec__bow__min_df': 1, 'vec__bow__ngram_range': (1, 2)}",0.5436009466593846,0.5486983433460768,0.56198798470781,0.5404224326292789,0.549890750182083,0.5489200915049267,0.007379223421609991,5,0.5651900777617094,0.5752248266699134,0.5847966735197557,0.5660229971283957,0.5742917796902373,0.5731052709540023,0.007147000758090239,7,0.5475569404505607,0.5507660614188894,0.5650240205535425,0.5432182424202735,0.551654447145379,0.5516439423977291,0.00731427756985829,5
0.5938589572906494,0.04534741043299871,0.11676545143127441,0.00581873506906852,0.005623413251903491,1.0,2,"(1, 2)","{'model__var_smoothing': np.float64(0.005623413251903491), 'vec__bow__max_df': 1.0, 'vec__bow__min_df': 2, 'vec__bow__ngram_range': (1, 2)}",0.5432368468960496,0.546877844529401,0.5601674858911342,0.5404224326292789,0.5502549162418062,0.548191905237534,0.006845649855451721,7,0.5647574097243587,0.5732382246833114,0.5832913600006769,0.5658307740569951,0.5745837771544712,0.5723403091239626,0.006717727689518426,11,0.5471865221040398,0.5492519613185006,0.5631431254366537,0.5433109008639915,0.5522059217942316,0.5510196863034834,0.006717563597164465,7
0.5784526824951172,0.010655161903014623,0.11502127647399903,0.003280764654322906,0.005623413251903491,0.9,2,"(1, 2)","{'model__var_smoothing': np.float64(0.005623413251903491), 'vec__bow__max_df': 0.9, 'vec__bow__min_df': 2, 'vec__bow__ngram_range': (1, 2)}",0.5432368468960496,0.546877844529401,0.5601674858911342,0.5404224326292789,0.5502549162418062,0.548191905237534,0.006845649855451721,7,0.5647574097243587,0.5732382246833114,0.5832913600006769,0.5658307740569951,0.5745837771544712,0.5723403091239626,0.006717727689518426,11,0.5471865221040398,0.5492519613185006,0.5631431254366537,0.5433109008639915,0.5522059217942316,0.5510196863034834,0.006717563597164465,7
0.27362709045410155,0.006429834631139703,0.09759340286254883,0.00957577175165126,3.1622776601683795e-05,1.0,2,"(1, 1)","{'model__var_smoothing': np.float64(3.1622776601683795e-05), 'vec__bow__max_df': 1.0, 'vec__bow__min_df': 2, 'vec__bow__ngram_range': (1, 1)}",0.5441470963043874,0.5539777899144366,0.551611141452758,0.5464311726147123,0.5446103423160962,0.548155508520478,0.003935715076572558,9,0.5685702888921408,0.579815589064144,0.5766537871862966,0.573042113787615,0.5715789953579157,0.5739321548576224,0.003926861850488315,5,0.5445733875596194,0.5527765915170181,0.5508024021808368,0.5446217129528407,0.5420021275108361,0.5469552443442302,0.0041070837144654765,9
0.2948359489440918,0.02782187094855592,0.10268125534057618,0.008010075448857169,3.1622776601683795e-05,0.9,2,"(1, 1)","{'model__var_smoothing': np.float64(3.1622776601683795e-05), 'vec__bow__max_df': 0.9, 'vec__bow__min_df': 2, 'vec__bow__ngram_range': (1, 1)}",0.5441470963043874,0.5539777899144366,0.551611141452758,0.5464311726147123,0.5446103423160962,0.548155508520478,0.003935715076572558,9,0.5685702888921408,0.579815589064144,0.5766537871862966,0.573042113787615,0.5715789953579157,0.5739321548576224,0.003926861850488315,5,0.5445733875596194,0.5527765915170181,0.5508024021808368,0.5446217129528407,0.5420021275108361,0.5469552443442302,0.0041070837144654765,9
