mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__estimator__C,param_model__estimator__loss,param_model__estimator__max_iter,param_vec__max_df,param_vec__max_features,param_vec__min_df,param_vec__ngram_range,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
4.9007360458374025,1.7324426580017016,0.189625883102417,0.04694250343944298,0.1,squared_hinge,2000,0.9,50000,2,"(1, 2)","{'model__estimator__C': 0.1, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'vec__max_df': 0.9, 'vec__max_features': 50000, 'vec__min_df': 2, 'vec__ngram_range': (1, 2)}",0.7058073912251958,0.6987074458401602,0.704350992171855,0.6946467589220685,0.6971959213401311,0.7001417018998821,0.004260217647143818,1,0.6983298233536958,0.6923660230018612,0.6971869574065518,0.686154888597048,0.6884925310375182,0.692506044679335,0.004739038371073669,1,0.7068339001846832,0.6992501748526582,0.7046172411717192,0.6941003412568723,0.6968356951296192,0.7003274705191104,0.004751125328114699,1
3.830616807937622,0.2569076786320311,0.16125040054321288,0.02894054361986788,0.1,squared_hinge,2000,0.95,50000,2,"(1, 2)","{'model__estimator__C': 0.1, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'vec__max_df': 0.95, 'vec__max_features': 50000, 'vec__min_df': 2, 'vec__ngram_range': (1, 2)}",0.7058073912251958,0.6987074458401602,0.704350992171855,0.6946467589220685,0.6971959213401311,0.7001417018998821,0.004260217647143818,1,0.6983298233536958,0.6923660230018612,0.6971869574065518,0.686154888597048,0.6884925310375182,0.692506044679335,0.004739038371073669,1,0.7068339001846832,0.6992501748526582,0.7046172411717192,0.6941003412568723,0.6968356951296192,0.7003274705191104,0.004751125328114699,1
3.837807130813599,0.7393513993156006,0.18394556045532226,0.03620793521915065,0.1,squared_hinge,2000,0.95,20000,2,"(1, 2)","{'model__estimator__C': 0.1, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'vec__max_df': 0.95, 'vec__max_features': 20000, 'vec__min_df': 2, 'vec__ngram_range': (1, 2)}",0.7067176406335336,0.6985253959584926,0.7027125432368468,0.6948288419519301,0.6970138383102695,0.6999596520182146,0.004249916257279823,3,0.6994209202031474,0.69219160953265,0.6954674353413411,0.6863050387471982,0.6882100807550678,0.6923190169158808,0.004762711230209018,3,0.7078941789341943,0.6991120351740685,0.7030009884898115,0.6942960344147487,0.6966455072964267,0.70018974886185,0.0048108272892786255,3
3.7998313426971437,0.367584753456666,0.14641413688659669,0.018354313212358923,0.1,squared_hinge,2000,0.9,20000,2,"(1, 2)","{'model__estimator__C': 0.1, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'vec__max_df': 0.9, 'vec__max_features': 20000, 'vec__min_df': 2, 'vec__ngram_range': (1, 2)}",0.7067176406335336,0.6985253959584926,0.7027125432368468,0.6948288419519301,0.6970138383102695,0.6999596520182146,0.004249916257279823,3,0.6994209202031474,0.69219160953265,0.6954674353413411,0.6863050387471982,0.6882100807550678,0.6923190169158808,0.004762711230209018,3,0.7078941789341943,0.6991120351740685,0.7030009884898115,0.6942960344147487,0.6966455072964267,0.70018974886185,0.0048108272892786255,3
3.212272071838379,1.6639800077484794,0.1292518138885498,0.053240930589842535,0.1,squared_hinge,2000,0.95,20000,2,"(1, 1)","{'model__estimator__C': 0.1, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'vec__max_df': 0.95, 'vec__max_features': 20000, 'vec__min_df': 2, 'vec__ngram_range': (1, 1)}",0.7048971418168578,0.694884398325141,0.7034407427635172,0.695375091041515,0.692461762563729,0.698211827302152,0.0049843171602168435,5,0.6970809094209933,0.6888733492779736,0.6960517605130002,0.687240589682749,0.6839079349362125,0.6906309087661857,0.00511409421244045,5,0.7056254734176376,0.6952114434433954,0.7032679429520708,0.694591735383787,0.6913818532398007,0.6980156896873384,0.0054605863945363,5
3.2628885746002196,0.8938556256809512,0.1231004238128662,0.04900494100079377,0.1,squared_hinge,2000,0.95,50000,2,"(1, 1)","{'model__estimator__C': 0.1, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'vec__max_df': 0.95, 'vec__max_features': 50000, 'vec__min_df': 2, 'vec__ngram_range': (1, 1)}",0.7048971418168578,0.694884398325141,0.7034407427635172,0.695375091041515,0.692461762563729,0.698211827302152,0.0049843171602168435,5,0.6970809094209933,0.6888733492779736,0.6960517605130002,0.687240589682749,0.6839079349362125,0.6906309087661857,0.00511409421244045,5,0.7056254734176376,0.6952114434433954,0.7032679429520708,0.694591735383787,0.6913818532398007,0.6980156896873384,0.0054605863945363,5
3.708949565887451,1.3024380894333307,0.12822022438049316,0.031169219367661,0.1,squared_hinge,2000,0.9,50000,2,"(1, 1)","{'model__estimator__C': 0.1, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'vec__max_df': 0.9, 'vec__max_features': 50000, 'vec__min_df': 2, 'vec__ngram_range': (1, 1)}",0.7048971418168578,0.694884398325141,0.7034407427635172,0.695375091041515,0.692461762563729,0.698211827302152,0.0049843171602168435,5,0.6970809094209933,0.6888733492779736,0.6960517605130002,0.687240589682749,0.6839079349362125,0.6906309087661857,0.00511409421244045,5,0.7056254734176376,0.6952114434433954,0.7032679429520708,0.694591735383787,0.6913818532398007,0.6980156896873384,0.0054605863945363,5
2.660835886001587,0.8093539643974424,0.1406466007232666,0.011629634702835,0.1,squared_hinge,2000,0.9,20000,2,"(1, 1)","{'model__estimator__C': 0.1, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'vec__max_df': 0.9, 'vec__max_features': 20000, 'vec__min_df': 2, 'vec__ngram_range': (1, 1)}",0.7048971418168578,0.694884398325141,0.7034407427635172,0.695375091041515,0.692461762563729,0.698211827302152,0.0049843171602168435,5,0.6970809094209933,0.6888733492779736,0.6960517605130002,0.687240589682749,0.6839079349362125,0.6906309087661857,0.00511409421244045,5,0.7056254734176376,0.6952114434433954,0.7032679429520708,0.694591735383787,0.6913818532398007,0.6980156896873384,0.0054605863945363,5
4.83309121131897,2.3362182351426473,0.18487091064453126,0.06577305066858781,0.1,squared_hinge,2000,0.95,50000,5,"(1, 2)","{'model__estimator__C': 0.1, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'vec__max_df': 0.95, 'vec__max_features': 50000, 'vec__min_df': 5, 'vec__ngram_range': (1, 2)}",0.7010740943018388,0.6943382486801384,0.6987074458401602,0.695375091041515,0.6971959213401311,0.6973381602407567,0.002396058777195631,13,0.6943393418755961,0.6882023986070228,0.6915788114300495,0.6875368357373498,0.687983304821351,0.6899281384942738,0.0026329573282279977,9,0.7023589122212526,0.6947901829995896,0.6988629644049528,0.6951673012428121,0.6963193066790933,0.6974997335095401,0.002815859654650881,9
3.042678785324097,0.5661830065219436,0.15009684562683107,0.026431374456821564,0.1,squared_hinge,2000,0.95,20000,5,"(1, 2)","{'model__estimator__C': 0.1, 'model__estimator__loss': 'squared_hinge', 'model__estimator__max_iter': 2000, 'vec__max_df': 0.95, 'vec__max_features': 20000, 'vec__min_df': 5, 'vec__ngram_range': (1, 2)}",0.7010740943018388,0.6943382486801384,0.6987074458401602,0.695375091041515,0.6971959213401311,0.6973381602407567,0.002396058777195631,13,0.6943393418755961,0.6882023986070228,0.6915788114300495,0.6875368357373498,0.687983304821351,0.6899281384942738,0.0026329573282279977,9,0.7023589122212526,0.6947901829995896,0.6988629644049528,0.6951673012428121,0.6963193066790933,0.6974997335095401,0.002815859654650881,9
