mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__max_iter,param_model__penalty,param_model__solver,param_model__tol,param_vec__max_df,param_vec__max_features,param_vec__min_df,param_vec__ngram_range,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.7430313110351563,0.09900470800911396,0.1032954216003418,0.04376172024444367,0.25,400,l2,lbfgs,0.001,0.9,20000,2,"(1, 1)","{'model__C': 0.25, 'model__max_iter': 400, 'model__penalty': 'l2', 'model__solver': 'lbfgs', 'model__tol': 0.001, 'vec__max_df': 0.9, 'vec__max_features': 20000, 'vec__min_df': 2, 'vec__ngram_range': (1, 1)}",0.6977971964318224,0.694520298561806,0.701802293828509,0.6893663510560816,0.6906409322651129,0.6948254144286664,0.0045806701258535145,1,0.6879153806673776,0.6861521390423123,0.692326873288765,0.679420697415556,0.67993424510134,0.6851498671030701,0.004902818174832194,7,0.6974463694495654,0.6941405847501306,0.7008596341787809,0.6878963377297335,0.688942715902004,0.6938571284020428,0.0049331645342796234,1
0.7171145915985108,0.14388444406581755,0.08836598396301269,0.013812891349814222,0.25,400,l2,lbfgs,0.001,0.9,50000,2,"(1, 1)","{'model__C': 0.25, 'model__max_iter': 400, 'model__penalty': 'l2', 'model__solver': 'lbfgs', 'model__tol': 0.001, 'vec__max_df': 0.9, 'vec__max_features': 50000, 'vec__min_df': 2, 'vec__ngram_range': (1, 1)}",0.6977971964318224,0.694520298561806,0.701802293828509,0.6893663510560816,0.6906409322651129,0.6948254144286664,0.0045806701258535145,1,0.6879153806673776,0.6861521390423123,0.692326873288765,0.679420697415556,0.67993424510134,0.6851498671030701,0.004902818174832194,7,0.6974463694495654,0.6941405847501306,0.7008596341787809,0.6878963377297335,0.688942715902004,0.6938571284020428,0.0049331645342796234,1
0.8155371665954589,0.17204783488093559,0.07790007591247558,0.01399434095698557,0.25,400,l2,lbfgs,0.001,0.95,50000,2,"(1, 1)","{'model__C': 0.25, 'model__max_iter': 400, 'model__penalty': 'l2', 'model__solver': 'lbfgs', 'model__tol': 0.001, 'vec__max_df': 0.95, 'vec__max_features': 50000, 'vec__min_df': 2, 'vec__ngram_range': (1, 1)}",0.6977971964318224,0.694520298561806,0.701802293828509,0.6893663510560816,0.6906409322651129,0.6948254144286664,0.0045806701258535145,1,0.6879153806673776,0.6861521390423123,0.692326873288765,0.679420697415556,0.67993424510134,0.6851498671030701,0.004902818174832194,7,0.6974463694495654,0.6941405847501306,0.7008596341787809,0.6878963377297335,0.688942715902004,0.6938571284020428,0.0049331645342796234,1
0.8345762729644776,0.23530515936893284,0.09014616012573243,0.013306321194829666,0.25,400,l2,lbfgs,0.001,0.95,20000,2,"(1, 1)","{'model__C': 0.25, 'model__max_iter': 400, 'model__penalty': 'l2', 'model__solver': 'lbfgs', 'model__tol': 0.001, 'vec__max_df': 0.95, 'vec__max_features': 20000, 'vec__min_df': 2, 'vec__ngram_range': (1, 1)}",0.6977971964318224,0.694520298561806,0.701802293828509,0.6893663510560816,0.6906409322651129,0.6948254144286664,0.0045806701258535145,1,0.6879153806673776,0.6861521390423123,0.692326873288765,0.679420697415556,0.67993424510134,0.6851498671030701,0.004902818174832194,7,0.6974463694495654,0.6941405847501306,0.7008596341787809,0.6878963377297335,0.688942715902004,0.6938571284020428,0.0049331645342796234,1
1.511265230178833,0.44725327664652714,0.12434430122375488,0.015301012270939518,0.25,400,l2,lbfgs,0.001,0.95,20000,5,"(1, 2)","{'model__C': 0.25, 'model__max_iter': 400, 'model__penalty': 'l2', 'model__solver': 'lbfgs', 'model__tol': 0.001, 'vec__max_df': 0.95, 'vec__max_features': 20000, 'vec__min_df': 5, 'vec__ngram_range': (1, 2)}",0.6994356453668306,0.6921536501001274,0.6972510467868196,0.6897305171158048,0.6913692643845594,0.6939880247508283,0.0037060245725201563,5,0.6901725490879153,0.6840678869580604,0.6878683016065429,0.6801695182157906,0.6810749349309759,0.684670638159857,0.0038483385207354844,17,0.6996574050167647,0.6921956109965984,0.696582236476981,0.6886719505504044,0.6904949773649816,0.693520436081146,0.004036171038753344,5
1.5358099460601806,0.4096008537442288,0.1378467082977295,0.03156938332342173,0.25,400,l2,lbfgs,0.001,0.95,50000,5,"(1, 2)","{'model__C': 0.25, 'model__max_iter': 400, 'model__penalty': 'l2', 'model__solver': 'lbfgs', 'model__tol': 0.001, 'vec__max_df': 0.95, 'vec__max_features': 50000, 'vec__min_df': 5, 'vec__ngram_range': (1, 2)}",0.6994356453668306,0.6921536501001274,0.6972510467868196,0.6897305171158048,0.6913692643845594,0.6939880247508283,0.0037060245725201563,5,0.6901725490879153,0.6840678869580604,0.6878683016065429,0.6801695182157906,0.6810749349309759,0.684670638159857,0.0038483385207354844,17,0.6996574050167647,0.6921956109965984,0.696582236476981,0.6886719505504044,0.6904949773649816,0.693520436081146,0.004036171038753344,5
1.3282686710357665,0.08202303476467473,0.12459383010864258,0.03734576373955693,0.25,400,l2,lbfgs,0.001,0.9,50000,5,"(1, 2)","{'model__C': 0.25, 'model__max_iter': 400, 'model__penalty': 'l2', 'model__solver': 'lbfgs', 'model__tol': 0.001, 'vec__max_df': 0.9, 'vec__max_features': 50000, 'vec__min_df': 5, 'vec__ngram_range': (1, 2)}",0.6994356453668306,0.6921536501001274,0.6972510467868196,0.6897305171158048,0.6913692643845594,0.6939880247508283,0.0037060245725201563,5,0.6901725490879153,0.6840678869580604,0.6878683016065429,0.6801695182157906,0.6810749349309759,0.684670638159857,0.0038483385207354844,17,0.6996574050167647,0.6921956109965984,0.696582236476981,0.6886719505504044,0.6904949773649816,0.693520436081146,0.004036171038753344,5
1.5727547645568847,0.4503515072385899,0.14838600158691406,0.02929009792085657,0.25,400,l2,lbfgs,0.001,0.9,20000,5,"(1, 2)","{'model__C': 0.25, 'model__max_iter': 400, 'model__penalty': 'l2', 'model__solver': 'lbfgs', 'model__tol': 0.001, 'vec__max_df': 0.9, 'vec__max_features': 20000, 'vec__min_df': 5, 'vec__ngram_range': (1, 2)}",0.6994356453668306,0.6921536501001274,0.6972510467868196,0.6897305171158048,0.6913692643845594,0.6939880247508283,0.0037060245725201563,5,0.6901725490879153,0.6840678869580604,0.6878683016065429,0.6801695182157906,0.6810749349309759,0.684670638159857,0.0038483385207354844,17,0.6996574050167647,0.6921956109965984,0.696582236476981,0.6886719505504044,0.6904949773649816,0.693520436081146,0.004036171038753344,5
2.1344987392425536,0.29308128511615755,0.24144315719604492,0.09341692038797318,0.5,400,l2,lbfgs,0.001,0.95,20000,2,"(1, 2)","{'model__C': 0.5, 'model__max_iter': 400, 'model__penalty': 'l2', 'model__solver': 'lbfgs', 'model__tol': 0.001, 'vec__max_df': 0.95, 'vec__max_features': 20000, 'vec__min_df': 2, 'vec__ngram_range': (1, 2)}",0.699253595485163,0.6885126524667758,0.6976151465501548,0.6911871813546977,0.6888201019664967,0.6930777355646576,0.0045004659086936,17,0.691446246772306,0.6818960619538653,0.6902744042984613,0.6830849041645957,0.6804398057611425,0.6854282845900742,0.0045288783302657384,1,0.7001104931458387,0.6890942275824599,0.6977374657738226,0.6910819483442535,0.688551211417467,0.6933150692527683,0.0047166100485150336,9
1.8975209712982177,0.23402176825409707,0.12290849685668945,0.025274398064431866,0.5,400,l2,lbfgs,0.001,0.9,20000,2,"(1, 2)","{'model__C': 0.5, 'model__max_iter': 400, 'model__penalty': 'l2', 'model__solver': 'lbfgs', 'model__tol': 0.001, 'vec__max_df': 0.9, 'vec__max_features': 20000, 'vec__min_df': 2, 'vec__ngram_range': (1, 2)}",0.699253595485163,0.6885126524667758,0.6976151465501548,0.6911871813546977,0.6888201019664967,0.6930777355646576,0.0045004659086936,17,0.691446246772306,0.6818960619538653,0.6902744042984613,0.6830849041645957,0.6804398057611425,0.6854282845900742,0.0045288783302657384,1,0.7001104931458387,0.6890942275824599,0.6977374657738226,0.6910819483442535,0.688551211417467,0.6933150692527683,0.0047166100485150336,9
