mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_split,param_model__n_estimators,param_vec__analyzer,param_vec__max_df,param_vec__min_df,param_vec__ngram_range,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
335.7670379161835,4.594577399059158,22.680024576187133,2.0488561309488413,balanced,,5,200,char_wb,0.9,1,"(3, 5)","{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__min_df': 1, 'vec__ngram_range': (3, 5)}",0.7176406335335882,0.7114509375568906,0.717276533770253,0.7155863073561544,0.7050254916241806,0.7133959807682133,0.00472697748812849,1,0.7149413256623122,0.7090590610821824,0.7146028396309495,0.7126136113282643,0.7014228458958535,0.7105279367199123,0.005009853267645229,1,0.7185291970504345,0.7117524712139138,0.7178057869798943,0.7150726747072422,0.7050675686200032,0.7136455397142976,0.00490631790689293,1
351.56525774002074,3.858309095416458,17.263277196884154,2.3876873285265297,balanced,,5,200,char_wb,1.0,1,"(3, 5)","{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 1, 'vec__ngram_range': (3, 5)}",0.7169124340069178,0.7101765883852176,0.7187329328235936,0.7112163146394757,0.7072104879825201,0.7128497515675449,0.004306562937504343,3,0.7142537809838951,0.7079307934799264,0.7156797041354611,0.7069629969372899,0.7031123218783888,0.7095879194829923,0.004699994746707329,2,0.7175594945285035,0.710582108728086,0.7188766881093089,0.710119717440985,0.707134682626238,0.7128545382866244,0.004555498472324925,2
239.18106384277343,18.614199013255053,23.126357507705688,2.964462874253753,balanced,,5,200,char_wb,0.9,2,"(3, 5)","{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'vec__analyzer': 'char_wb', 'vec__max_df': 0.9, 'vec__min_df': 2, 'vec__ngram_range': (3, 5)}",0.7136355361369016,0.7107227380302202,0.7187329328235936,0.7132192279679533,0.7075746540422433,0.7127770178001824,0.003679407054846005,4,0.7110065280902429,0.7074817025684078,0.7155716428677129,0.7092520235193757,0.7037254739054225,0.7094074741902323,0.003913357569827859,3,0.7141452054086915,0.7105777545887877,0.7190108919851235,0.7121516517574396,0.7076205458601833,0.7127012099200452,0.003808449415200525,3
192.23783392906188,12.83608329866646,4.916988277435303,3.551380540825682,balanced,,5,200,char_wb,1.0,2,"(3, 5)","{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 2, 'vec__ngram_range': (3, 5)}",0.7161842344802476,0.7103586382668852,0.7165483342435828,0.7115804806991989,0.706300072833212,0.7121943521046252,0.0038305491346162387,6,0.7132244313821431,0.7074791190398125,0.713674243209527,0.7077483977226908,0.7024738969469047,0.7089200176602156,0.004150469670437414,4,0.7166593560127881,0.7100966279374514,0.7169208779922052,0.7106301310701083,0.7063030774002019,0.7121220140825509,0.00409400768655929,4
172.0947433948517,8.397021791084818,11.615043687820435,3.4529952276927918,balanced,,5,100,char_wb,1.0,1,"(3, 5)","{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 1, 'vec__ngram_range': (3, 5)}",0.7149098853085746,0.7119970872018934,0.718186783178591,0.708667152221413,0.705753823743627,0.7119029463308199,0.004400436845581361,9,0.7117890017930413,0.7098446055093454,0.7156185392040211,0.7043041999340199,0.7026800129627894,0.7088472718806434,0.004778558269627476,5,0.7154037250218054,0.7122514327644405,0.7188025073568163,0.707539058274676,0.7059181434874642,0.7119829733810404,0.004791872264275893,5
443.6168729305267,7.026925250632073,14.298062658309936,3.5143402806897903,,,5,200,char_wb,1.0,1,"(3, 5)","{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 1, 'vec__ngram_range': (3, 5)}",0.7141816857819042,0.7139996359002366,0.7196431822319316,0.7126729788783686,0.7039329934450109,0.7128860952474904,0.005075040937880884,2,0.7076712791744234,0.7077657915808205,0.7129399434603855,0.7055163924058525,0.6971177012308117,0.7062022215704588,0.005157492591008767,12,0.7135734635993133,0.7133191237468308,0.718832800560652,0.7108849938403189,0.7028521700580924,0.7118925103610415,0.005210974955403911,6
631.8782861232758,26.31523213029667,15.301834630966187,6.705099212167457,balanced,,2,200,char_wb,1.0,1,"(3, 5)","{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 1, 'vec__ngram_range': (3, 5)}",0.7145457855452394,0.7109047879118878,0.7145457855452394,0.7101238164603059,0.7112163146394757,0.7122672980204297,0.0018941237479604192,5,0.7087569030980774,0.7059165434887978,0.7094405571846497,0.7036664363142512,0.7056350614191231,0.7066831003009798,0.002130280871601658,10,0.714452059457971,0.7104886082265492,0.7144353958575538,0.7085917063864713,0.7107641128686909,0.7117463765594473,0.002325954073950581,7
143.2034194469452,3.8768853639182423,8.530989933013917,0.3972277149978419,balanced,,5,100,char_wb,1.0,2,"(3, 5)","{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 2, 'vec__ngram_range': (3, 5)}",0.7156380848352448,0.7107227380302202,0.7170944838885854,0.7053896576839038,0.7072104879825201,0.7112110904840948,0.004568259740405941,14,0.7129623906088107,0.7084584604815819,0.7141046062134587,0.7017937203027177,0.7031647247585551,0.7080967804730249,0.004979009653146264,6,0.7161808610642565,0.7108327252165102,0.7174008996188368,0.704488810730295,0.7069919645326056,0.7111790522325008,0.005022757283698679,8
267.2214509963989,6.5487512272904285,6.864498853683472,0.6871129205345471,,,5,200,char_wb,1.0,2,"(3, 5)","{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 2, 'vec__ngram_range': (3, 5)}",0.7130893864918988,0.7121791370835608,0.718186783178591,0.7119446467589221,0.7044792425345958,0.7119758392095138,0.00438308287026564,8,0.7069516735202078,0.707007267989927,0.7125793329370742,0.7045038512904837,0.6976763260824956,0.7057436903640377,0.004824964839000589,14,0.7127490837725302,0.7119231790696503,0.7178872716152469,0.7094852467069327,0.7036143896279351,0.711131834158459,0.004649750118453302,9
182.14094009399415,5.728727699913908,18.79280252456665,0.5567381097555428,balanced,,2,100,char_wb,1.0,2,"(3, 5)","{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 100, 'vec__analyzer': 'char_wb', 'vec__max_df': 1.0, 'vec__min_df': 2, 'vec__ngram_range': (3, 5)}",0.7132714363735664,0.7092663389768796,0.7136355361369016,0.7108521485797523,0.7097596504005826,0.7113570220935365,0.001790757256918942,13,0.7091343245328515,0.7051560331907153,0.7089298284334914,0.7057249242339217,0.7049781008649902,0.7067846422511941,0.0018526625223999507,9,0.7133162582829069,0.7088752320017986,0.713600418110283,0.7097193488538194,0.7094829709483493,0.7109988456394314,0.002028955576971933,10
